Gene_Hugo_Symbol,Entrez_Gene_Id,is_common
MAP1LC3C,440738,True
DHX16,8449,True
SLC6A16,28968,True
TRIM45,80263,True
ITGB5,3693,True
MMP10,4319,True
HIF1A,3091,True
CAV2,858,True
ACYP1,97,True
FAM110A,83541,True
PXDC1,221749,True
MYZAP,100820829,True
CRLF2,64109,True
RP11-248J23.6,0,True
SPACA5,389852,True
BCAP29,55973,True
SLC1A4,6509,True
BTNL8,79908,True
GAK,2580,True
UNC5C,8633,True
MGAT3,4248,True
TCP11L2,255394,True
ZNF518B,85460,True
TFRC,7037,True
SEPHS1,22929,True
NIPA2,81614,True
BEND3,57673,True
ZNF688,146542,True
USP40,55230,True
LATS2,26524,True
XPC,7508,True
EIF4A3,9775,True
CEBPB,1051,True
PSMG3,84262,True
TMEM258,746,True
RARG,5916,True
FKSG48,0,True
PPFIBP2,8495,True
C12orf45,121053,True
PRAME,23532,True
ANKH,56172,True
BNIP2,663,True
ZWILCH,55055,True
PIP4K2C,79837,True
ITGA4,3676,True
FZD9,8326,True
GGTLC3,728441,True
S1PR5,53637,True
TNRC6B,23112,True
HLA-DRB1,3123,True
FCER1G,2207,True
SYPL2,284612,True
PFKFB3,5209,True
NAAA,27163,True
TRPC3,7222,True
TMEM53,79639,True
CXCL5,6374,True
ZCCHC24,219654,True
PIK3CB,5291,True
AC019294.1,0,True
SGSH,6448,True
SYNRG,11276,True
AXIN1,8312,True
DIAPH1,1729,True
MRPS23,51649,True
RAPGEF2,9693,True
SLC25A17,10478,True
CPSF2,53981,True
KCNA5,3741,True
C10orf76,79591,True
HSD17B13,345275,True
CDC7,8317,True
IKZF5,64376,True
CABYR,26256,True
CHD1,1105,True
GHRL,51738,True
DDX60L,91351,True
IP6K1,9807,True
ERO1L,30001,True
EXOSC4,54512,True
C4orf32,132720,True
KLF11,8462,True
FBXO33,254170,True
SNX33,257364,True
CCL21,6366,True
ZSWIM6,57688,True
ZNF329,79673,True
CD164L2,388611,True
ARMC6,93436,True
PIF1,80119,True
ZNF728,388523,True
SLBP,7884,True
POR,5447,True
EFCAB11,90141,True
NACC2,138151,True
C1orf167,0,True
TLR7,51284,True
RP11-295P9.3,0,True
FAM184A,79632,True
PPP1CA,5499,True
CLCN2,1181,True
COL27A1,85301,True
FAM184B,27146,True
TRABD2A,129293,True
