Gene_Hugo_Symbol,Entrez_Gene_Id,r_value_spearman
MGAT5,4249,-0.19288888894455217
CNGA3,1261,-0.19272769077649307
TMEM115,11070,-0.192564650374439
COPB1,1315,-0.19246661456650502
PAGE2B,389860,-0.1923432733452528
RPAP2,79871,-0.19229568438985284
KLF11,8462,-0.19228644850769336
KHDC1L,100129128,-0.1920628730835681
MAPK8,5599,-0.19184761743890166
MRPL32,64983,-0.19181047055931988
PLA2G4C,8605,-0.19168147565453536
DONSON,29980,-0.1914827180914095
TNKS,8658,-0.19135594937483189
NDST1,3340,-0.19120367083826206
KCNJ3,3760,-0.19114060415833395
EEF2K,29904,-0.19104929925704123
OR5P3,120066,-0.19100543784591673
FAXDC2,10826,-0.19090734425284595
SYT11,23208,-0.1908879148911321
FRMD7,90167,-0.1906998393553348
CIB4,130106,-0.19055671354002698
TCF7L2,6934,-0.19055625027893525
CAMK1D,57118,-0.1905242178106186
NANOS3,342977,-0.19048533946315166
KCND1,3750,-0.1902703743249654
PC,5091,-0.1900828435716083
FABP5,2171,-0.1900381867251696
UAP1,6675,-0.19003579679747123
MAML2,84441,-0.1899454803827807
KIF1B,23095,-0.18980013452483907
AP1S2,8905,-0.18974876500061927
EOMES,8320,-0.18974666832220305
ACTR3B,57180,-0.18962867084555562
ITGB4,3691,-0.18960795640217248
TMEM70,54968,-0.18959098883869427
TMEM212,389177,-0.18938669950486456
LRRC17,10234,-0.18904899222672072
TCHHL1,126637,-0.18896965910266575
PLCXD2,257068,-0.18886861335645785
SFTPD,6441,-0.18873814519512314
C16orf74,404550,-0.18872772768496202
MYRIP,25924,-0.18866474543707973
GPR64,10149,-0.1886226107002209
PIK3R3,8503,-0.18859859763711456
STK38L,23012,-0.18857637237221853
GNAS,2778,-0.188382827083403
SLC17A7,57030,-0.18836612107554163
LPAR6,10161,-0.18830591956651746
CAPN6,827,-0.18801325457426887
SKI,6497,-0.18793236167501884
GSG1L,146395,-0.1878726444607095
AC003006.7,0,-0.187798117850122
NPL,80896,-0.1877296194562115
CXXC5,51523,-0.1874159462055716
ERBB2,2064,-0.18733636041050325
NUFIP1,26747,-0.1873078409875349
NYNRIN,57523,-0.18719827505932793
TERT,7015,-0.18716266545201887
C9orf92,100129385,-0.18713322188050371
TRABD2A,129293,-0.18706625368599933
CRB2,286204,-0.18700300737414713
ID2,3398,-0.18682453549579114
C1QTNF9,338872,-0.18678707732198904
PBRM1,55193,-0.18661574442200976
STARD9,57519,-0.18650946200723537
MYBPC2,4606,-0.18631288318242908
ZNF726,730087,-0.1862632084534102
MYH14,79784,-0.1862123615459499
AMOT,154796,-0.18618056490852972
PHF21B,112885,-0.18611273976168072
XXbac-BPG181M17.5,0,-0.18598540933225613
RP11-210M15.2,0,-0.1858470042835413
FXYD7,53822,-0.18578565681171239
IRX6,79190,-0.185463538843773
APOBEC2,10930,-0.18543235933554356
C14orf64,0,-0.18535062461341326
NR2C2,7182,-0.1853266098848582
ANKRD52,283373,-0.18531065836844537
CERKL,375298,-0.18509356205349572
FNBP1,23048,-0.18489252092709235
RP11-187E13.1,0,-0.184863719887832
hsa-mir-150,0,-0.18469856097494564
TMEM208,29100,-0.18469042075439604
ANKRD7,56311,-0.18464790618072566
HIST1H2BF,8339,-0.18458391961924525
CCDC129,223075,-0.18452979832128816
SBK1,388228,-0.18421305412804378
MEOX1,4222,-0.18397041874759892
SRR,63826,-0.18390142221485625
TBC1D16,125058,-0.18377248949574448
GLT8D1,55830,-0.18370976022822916
RBM47,54502,-0.18364357340308202
KLK1,3816,-0.1834990155116938
CAND2,23066,-0.18349703464926143
FRMD4A,55691,-0.18319401756737727
YIPF7,285525,-0.18311000185283563
EVPLL,645027,-0.18299272399258892
PPL,5493,-0.18296870919941405
WDR43,23160,-0.1829449924370977
NDUFB8,4714,-0.18276187539539504
SMG7,9887,-0.18257152205229085
HIST1H2BE,8339,-0.18253903924556486
ATP6V0A2,23545,-0.18253663307897916
MYL7,58498,-0.18248124232801097
CSF2,1437,-0.18235082290080765
TMEM155,132332,-0.18234644383614274
GPX7,2882,-0.18220023791935294
RHO,6010,-0.18210469163667609
DHRS9,10170,-0.1817592397195484
CCL5,6352,-0.1817439543282407
PSMA3,5684,-0.18174393655014495
KLHL9,55958,-0.18160638966886147
IL17RC,84818,-0.1814621841400648
MVB12B,89853,-0.1814557772293966
MEX3A,92312,-0.1814033916442554
TMEM170B,100113407,-0.18133358950649583
GCKR,2646,-0.18121127791204014
AHCTF1,25909,-0.1810997146118443
NPAS1,4861,-0.18107816111337774
NEDD8,4738,-0.18103427825365062
XKR4,114786,-0.18082961497389327
CHST6,4166,-0.18066994884193793
KRTAP10-2,386679,-0.18047031185592188
SIK2,23235,-0.18043379055477524
CD3D,915,-0.18035778610074246
EIF4A3,9775,-0.18026524517438064
S100A2,6273,-0.18022906817210774
C1QBP,708,-0.18015854970228523
KLHL38,340359,-0.1801369128280418
SAT2,112483,-0.18013257840837085
CCDC102A,92922,-0.17996253865264097
CRYAA,1409,-0.1799351097806596
YPEL2,388403,-0.1799010432475405
COX6B2,125965,-0.17984195637840322
